SYMBOL,NAME OF COMPANY,SERIES,ISIN NUMBER
20MICRONS,20 Microns Limited,EQ,INE144J01027
21STCENMGM,21st Century Management Services Limited,EQ,INE253B01015
360ONE,360 ONE WAM LIMITED,EQ,INE466L01038
3BBLACKBIO,3B Blackbio Dx Limited,EQ,INE994E01018
3MINDIA,3M India Limited,EQ,INE470A01017
3PLAND,3P Land Holdings Limited,EQ,INE105C01023
5PAISA,5Paisa Capital Limited,EQ,INE618L01018
63MOONS,63 moons technologies limited,EQ,INE111B01023
A2ZINFRA,A2Z Infra Engineering Limited,EQ,INE619I01012
AAATECH,AAA Technologies Limited,EQ,INE0D0U01013
AADHARHFC,Aadhar Housing Finance Limited,EQ,INE883F01010
AAKASH,Aakash Exploration Services Limited,EQ,INE087Z01024
AARNAV,Aarnav Fashions Limited,EQ,INE750R01016
AARON,Aaron Industries Limited,EQ,INE721Z01010
AARTIDRUGS,Aarti Drugs Limited,EQ,INE767A01016
AARTIIND,Aarti Industries Limited,EQ,INE769A01020
AARTIPHARM,Aarti Pharmalabs Limited,EQ,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,EQ,INE09EO01013
AARVI,Aarvi Encon Limited,EQ,INE754X01016
AASTHA,Aastha Spintex Limited,EQ,INE2FMX01012
AAVAS,Aavas Financiers Limited,EQ,INE216P01012
ABANSENT,Abans Enterprises Limited,EQ,INE365O01028
ABB,ABB India Limited,EQ,INE117A01022
ABBOTINDIA,Abbott India Limited,EQ,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,EQ,INE674K01013
ABCOTS,A B Cotspin India Limited,EQ,INE08PH01015
ABDL,Allied Blenders and Distillers Limited,EQ,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,INE647O01011
ABINFRA,A B Infrabuild Limited,EQ,INE00YB01025
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,INE14LE01019
ABMINTLLTD,ABM International Limited,EQ,INE251C01025
ABMKNO,ABM Knowledgeware Limited,EQ,INE850B01026
ABREL,Aditya Birla Real Estate Limited,EQ,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,INE404A01024
ACC,ACC Limited,EQ,INE012A01025
ACCELYA,Accelya Solutions India Limited,EQ,INE793A01012
ACE,Action Construction Equipment Limited,EQ,INE731H01025
ACEINTEG,Ace Integrated Solutions Limited,EQ,INE543V01017
ACI,Archean Chemical Industries Limited,EQ,INE128X01021
ACL,Andhra Cements Limited,EQ,INE666E01020
ACMESOLAR,Acme Solar Holdings Limited,EQ,INE622W01025
ACSTECH,ACS Technologies Limited,EQ,INE366C01021
ACUTAAS,Acutaas Chemicals Limited,EQ,INE00FF01025
ADANIENSOL,Adani Energy Solutions Limited,EQ,INE931S01010
ADANIENT,Adani Enterprises Limited,EQ,INE423A01024
ADANIGREEN,Adani Green Energy Limited,EQ,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,INE742F01042
